iter	Passed	Remaining
0	147	147474
1	148	74098
2	149	49583
3	149	37341
4	150	29997
5	151	25110
6	153	21758
7	154	19145
8	155	17088
9	155	15443
10	156	14101
11	157	12983
12	158	12029
13	159	11219
14	160	10508
15	160	9889
16	161	9341
17	162	8852
18	162	8415
19	163	8020
20	164	7661
21	165	7339
22	165	7044
23	166	6787
24	167	6540
25	168	6317
26	169	6103
27	170	5905
28	170	5719
29	171	5546
30	172	5383
31	172	5230
32	173	5090
33	174	4956
34	175	4829
35	175	4710
36	176	4597
37	177	4492
38	178	4393
39	179	4300
40	179	4209
41	181	4130
42	181	4049
43	182	3973
44	183	3903
45	184	3832
46	185	3764
47	186	3701
48	187	3638
49	188	3574
50	188	3515
51	189	3457
52	190	3401
53	191	3348
54	191	3295
55	192	3245
56	193	3197
57	194	3151
58	194	3105
59	195	3061
60	196	3021
61	197	2986
62	198	2949
63	199	2912
64	199	2876
65	200	2841
66	201	2809
67	202	2776
68	203	2744
69	204	2711
70	205	2683
71	205	2655
72	206	2624
73	207	2595
74	208	2566
75	208	2540
76	209	2514
77	210	2491
78	211	2469
79	212	2447
80	213	2423
81	214	2402
82	215	2375
83	215	2353
84	216	2331
85	217	2310
86	218	2290
87	219	2269
88	219	2250
89	220	2231
90	221	2211
91	222	2192
92	222	2173
93	223	2155
94	224	2137
95	225	2120
96	226	2104
97	227	2091
98	228	2077
99	229	2063
100	230	2048
101	230	2032
102	231	2017
103	232	2001
104	233	1987
105	233	1972
106	234	1957
107	235	1943
108	236	1929
109	237	1918
110	237	1905
111	238	1893
112	239	1879
113	240	1867
114	241	1859
115	242	1848
116	243	1836
117	244	1824
118	244	1812
119	245	1800
120	246	1788
121	246	1776
122	247	1764
123	248	1753
124	248	1742
125	249	1730
126	250	1719
127	250	1708
128	251	1697
129	252	1687
130	253	1678
131	253	1668
132	254	1658
133	255	1648
134	255	1640
135	256	1631
136	257	1623
137	258	1616
138	259	1608
139	260	1600
140	261	1592
141	261	1582
142	262	1574
143	263	1566
144	264	1558
145	265	1550
146	265	1543
147	266	1535
148	267	1527
149	268	1519
150	268	1511
151	269	1504
152	270	1496
153	271	1488
154	271	1481
155	272	1475
156	273	1469
157	274	1462
158	275	1455
159	275	1448
160	276	1440
161	277	1433
162	278	1427
163	278	1421
164	279	1415
165	280	1409
166	281	1402
167	281	1396
168	282	1390
169	283	1384
170	284	1377
171	284	1371
172	285	1366
173	286	1361
174	287	1355
175	288	1349
176	289	1344
177	289	1338
178	290	1332
179	291	1327
180	292	1321
181	292	1316
182	293	1311
183	294	1306
184	295	1300
185	296	1295
186	296	1290
187	297	1285
188	298	1279
189	299	1275
190	300	1270
191	300	1266
192	301	1262
193	302	1257
